NewsID,filename
1,PolitiFact_Real_1
2,PolitiFact_Real_2
3,PolitiFact_Real_3
4,PolitiFact_Real_4
5,PolitiFact_Real_5
6,PolitiFact_Real_6
7,PolitiFact_Real_7
8,PolitiFact_Real_8
9,PolitiFact_Real_9
10,PolitiFact_Real_10
11,PolitiFact_Real_11
12,PolitiFact_Real_12
13,PolitiFact_Real_13
14,PolitiFact_Real_14
15,PolitiFact_Real_15
16,PolitiFact_Real_16
17,PolitiFact_Real_17
18,PolitiFact_Real_18
19,PolitiFact_Real_19
20,PolitiFact_Real_20
21,PolitiFact_Real_21
22,PolitiFact_Real_22
23,PolitiFact_Real_23
24,PolitiFact_Real_24
25,PolitiFact_Real_25
26,PolitiFact_Real_26
27,PolitiFact_Real_27
28,PolitiFact_Real_28
29,PolitiFact_Real_29
30,PolitiFact_Real_30
31,PolitiFact_Real_31
32,PolitiFact_Real_32
33,PolitiFact_Real_33
34,PolitiFact_Real_34
35,PolitiFact_Real_35
36,PolitiFact_Real_36
37,PolitiFact_Real_37
38,PolitiFact_Real_38
39,PolitiFact_Real_39
40,PolitiFact_Real_40
41,PolitiFact_Real_41
42,PolitiFact_Real_42
43,PolitiFact_Real_43
44,PolitiFact_Real_44
45,PolitiFact_Real_45
46,PolitiFact_Real_46
47,PolitiFact_Real_47
48,PolitiFact_Real_48
49,PolitiFact_Real_49
50,PolitiFact_Real_50
51,PolitiFact_Real_51
52,PolitiFact_Real_52
53,PolitiFact_Real_53
54,PolitiFact_Real_54
55,PolitiFact_Real_55
56,PolitiFact_Real_56
57,PolitiFact_Real_57
58,PolitiFact_Real_58
59,PolitiFact_Real_59
60,PolitiFact_Real_60
61,PolitiFact_Real_61
62,PolitiFact_Real_62
63,PolitiFact_Real_63
64,PolitiFact_Real_64
65,PolitiFact_Real_65
66,PolitiFact_Real_66
67,PolitiFact_Real_67
68,PolitiFact_Real_68
69,PolitiFact_Real_69
70,PolitiFact_Real_70
71,PolitiFact_Real_71
72,PolitiFact_Real_72
73,PolitiFact_Real_73
74,PolitiFact_Real_74
75,PolitiFact_Real_75
76,PolitiFact_Real_76
77,PolitiFact_Real_77
78,PolitiFact_Real_78
79,PolitiFact_Real_79
80,PolitiFact_Real_80
81,PolitiFact_Real_81
82,PolitiFact_Real_82
83,PolitiFact_Real_83
84,PolitiFact_Real_84
85,PolitiFact_Real_85
86,PolitiFact_Real_86
87,PolitiFact_Real_87
88,PolitiFact_Real_88
89,PolitiFact_Real_89
90,PolitiFact_Real_90
91,PolitiFact_Real_91
92,PolitiFact_Real_92
93,PolitiFact_Real_93
94,PolitiFact_Real_94
95,PolitiFact_Real_95
96,PolitiFact_Real_96
97,PolitiFact_Real_97
98,PolitiFact_Real_98
99,PolitiFact_Real_99
100,PolitiFact_Real_100
101,PolitiFact_Real_101
102,PolitiFact_Real_102
103,PolitiFact_Real_103
104,PolitiFact_Real_104
105,PolitiFact_Real_105
106,PolitiFact_Real_106
107,PolitiFact_Real_107
108,PolitiFact_Real_108
109,PolitiFact_Real_109
110,PolitiFact_Real_110
111,PolitiFact_Real_111
112,PolitiFact_Real_112
113,PolitiFact_Real_113
114,PolitiFact_Real_114
115,PolitiFact_Real_115
116,PolitiFact_Real_116
117,PolitiFact_Real_117
118,PolitiFact_Real_118
119,PolitiFact_Real_119
120,PolitiFact_Real_120
121,PolitiFact_Fake_1
122,PolitiFact_Fake_2
123,PolitiFact_Fake_3
124,PolitiFact_Fake_4
125,PolitiFact_Fake_5
126,PolitiFact_Fake_6
127,PolitiFact_Fake_7
128,PolitiFact_Fake_8
129,PolitiFact_Fake_9
130,PolitiFact_Fake_10
131,PolitiFact_Fake_11
132,PolitiFact_Fake_12
133,PolitiFact_Fake_13
134,PolitiFact_Fake_14
135,PolitiFact_Fake_15
136,PolitiFact_Fake_16
137,PolitiFact_Fake_17
138,PolitiFact_Fake_18
139,PolitiFact_Fake_19
140,PolitiFact_Fake_20
141,PolitiFact_Fake_21
142,PolitiFact_Fake_22
143,PolitiFact_Fake_23
144,PolitiFact_Fake_24
145,PolitiFact_Fake_25
146,PolitiFact_Fake_26
147,PolitiFact_Fake_27
148,PolitiFact_Fake_28
149,PolitiFact_Fake_29
150,PolitiFact_Fake_30
151,PolitiFact_Fake_31
152,PolitiFact_Fake_32
153,PolitiFact_Fake_33
154,PolitiFact_Fake_34
155,PolitiFact_Fake_35
156,PolitiFact_Fake_36
157,PolitiFact_Fake_37
158,PolitiFact_Fake_38
159,PolitiFact_Fake_39
160,PolitiFact_Fake_40
161,PolitiFact_Fake_41
162,PolitiFact_Fake_42
163,PolitiFact_Fake_43
164,PolitiFact_Fake_44
165,PolitiFact_Fake_45
166,PolitiFact_Fake_46
167,PolitiFact_Fake_47
168,PolitiFact_Fake_48
169,PolitiFact_Fake_49
170,PolitiFact_Fake_50
171,PolitiFact_Fake_51
172,PolitiFact_Fake_52
173,PolitiFact_Fake_53
174,PolitiFact_Fake_54
175,PolitiFact_Fake_55
176,PolitiFact_Fake_56
177,PolitiFact_Fake_57
178,PolitiFact_Fake_58
179,PolitiFact_Fake_59
180,PolitiFact_Fake_60
181,PolitiFact_Fake_61
182,PolitiFact_Fake_62
183,PolitiFact_Fake_63
184,PolitiFact_Fake_64
185,PolitiFact_Fake_65
186,PolitiFact_Fake_66
187,PolitiFact_Fake_67
188,PolitiFact_Fake_68
189,PolitiFact_Fake_69
190,PolitiFact_Fake_70
191,PolitiFact_Fake_71
192,PolitiFact_Fake_72
193,PolitiFact_Fake_73
194,PolitiFact_Fake_74
195,PolitiFact_Fake_75
196,PolitiFact_Fake_76
197,PolitiFact_Fake_77
198,PolitiFact_Fake_78
199,PolitiFact_Fake_79
200,PolitiFact_Fake_80
201,PolitiFact_Fake_81
202,PolitiFact_Fake_82
203,PolitiFact_Fake_83
204,PolitiFact_Fake_84
205,PolitiFact_Fake_85
206,PolitiFact_Fake_86
207,PolitiFact_Fake_87
208,PolitiFact_Fake_88
209,PolitiFact_Fake_89
210,PolitiFact_Fake_90
211,PolitiFact_Fake_91
212,PolitiFact_Fake_92
213,PolitiFact_Fake_93
214,PolitiFact_Fake_94
215,PolitiFact_Fake_95
216,PolitiFact_Fake_96
217,PolitiFact_Fake_97
218,PolitiFact_Fake_98
219,PolitiFact_Fake_99
220,PolitiFact_Fake_100
221,PolitiFact_Fake_101
222,PolitiFact_Fake_102
223,PolitiFact_Fake_103
224,PolitiFact_Fake_104
225,PolitiFact_Fake_105
226,PolitiFact_Fake_106
227,PolitiFact_Fake_107
228,PolitiFact_Fake_108
229,PolitiFact_Fake_109
230,PolitiFact_Fake_110
231,PolitiFact_Fake_111
232,PolitiFact_Fake_112
233,PolitiFact_Fake_113
234,PolitiFact_Fake_114
235,PolitiFact_Fake_115
236,PolitiFact_Fake_116
237,PolitiFact_Fake_117
238,PolitiFact_Fake_118
239,PolitiFact_Fake_119
240,PolitiFact_Fake_120
